Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
455,J.R. Smith,SG,33,CLE,11,4,222,27,79,12,39,15,40,8,10,0,18,18,21,11,3,11,19,74
457,Zhaire Smith,SG,19,PHI,6,2,111,14,34,6,16,8,18,6,8,3,10,13,10,2,2,6,8,40
458,Tony Snell,SF,27,MIL,74,12,1304,163,361,81,204,82,157,37,42,29,128,157,68,26,18,23,90,444
459,Ray Spalding,PF,21,TOT,14,3,148,25,47,0,3,25,44,4,12,15,33,48,5,9,8,9,23,54
460,Omari Spellman,PF,21,ATL,46,11,805,98,244,44,128,54,116,32,45,72,122,194,47,26,25,31,67,272
461,Nik Stauskas,SG,25,TOT,68,0,1015,136,338,70,188,66,150,57,64,18,109,127,81,21,7,51,50,399
462,D.J. Stephens,SG,28,MEM,1,0,7,1,2,0,0,1,2,0,0,0,0,0,0,1,0,1,0,2
463,Lance Stephenson,SG,28,LAL,68,3,1123,184,432,73,197,111,235,50,73,32,183,215,140,41,7,86,111,491
464,Edmond Sumner,PG,23,IND,23,2,210,22,64,7,27,15,37,15,24,9,15,24,10,12,5,10,26,66
465,Caleb Swanigan,PF,21,TOT,21,0,178,18,53,1,7,17,46,6,9,17,47,64,11,6,1,18,28,43
466,Jayson Tatum,SF,20,BOS,79,79,2455,466,1036,116,311,350,725,195,228,70,407,477,168,84,57,122,168,1243
467,Jeff Teague,PG,30,MIN,42,41,1264,176,416,35,105,141,311,123,153,16,90,106,343,43,18,97,90,510
468,Garrett Temple,SG,32,TOT,75,55,2040,208,493,90,264,118,229,80,107,28,188,216,106,76,30,70,204,586
469,Miloš Teodosić,PG,31,LAC,15,0,150,17,40,10,27,7,13,4,7,3,13,16,32,3,1,21,27,48
470,Jared Terrell,SG,23,MIN,14,0,111,12,39,4,17,8,22,3,6,1,5,6,12,3,2,10,16,31
471,Emanuel Terry,PF,22,TOT,3,0,23,4,7,0,0,4,7,2,4,3,4,7,2,3,0,2,4,10
472,Daniel Theis,C,26,BOS,66,2,908,146,266,26,67,120,199,56,76,87,138,225,68,21,42,33,161,374
473,Isaiah Thomas,SG,29,DEN,12,0,181,34,99,12,43,22,56,17,27,5,8,13,23,5,1,18,17,97
474,Khyri Thomas,SG,22,DET,26,0,195,22,69,10,35,12,34,7,11,4,16,20,8,7,5,4,22,61
475,Lance Thomas,PF,30,NYK,46,17,783,78,197,22,79,56,118,27,36,21,96,117,27,17,7,24,83,205
476,Klay Thompson,SG,28,GSW,78,78,2652,655,1402,241,599,414,803,129,158,37,262,299,186,84,47,115,157,1680
477,Tristan Thompson,C,27,CLE,43,40,1198,201,380,0,0,201,380,68,106,173,265,438,86,28,16,59,89,470
478,Sindarius Thornwell,SG,24,LAC,64,1,313,17,49,3,15,14,34,25,34,5,39,44,18,14,7,20,41,62
479,Anthony Tolliver,PF,33,MIN,65,0,1079,99,259,81,215,18,44,47,60,15,162,177,46,17,21,36,91,326
480,Karl-Anthony Towns,C,23,MIN,77,77,2545,681,1314,142,355,539,959,376,450,263,691,954,259,67,125,240,292,1880
481,Gary Trent,SG,20,POR,15,1,111,16,50,5,21,11,29,3,7,1,10,11,5,1,2,4,4,40
482,Allonzo Trier,SG,23,NYK,64,3,1459,232,518,52,132,180,386,179,223,31,166,197,119,28,14,116,117,695
483,P.J. Tucker,PF,33,HOU,82,82,2802,207,523,146,387,61,136,41,59,121,358,479,96,132,39,63,252,601
484,Evan Turner,PG,30,POR,73,2,1605,204,443,11,52,193,391,75,106,37,291,328,283,33,18,114,110,494
485,Myles Turner,C,22,IND,74,74,2119,380,780,76,196,304,584,148,201,101,430,531,115,60,199,100,195,984
486,Ekpe Udoh,C,31,UTA,51,1,320,50,72,0,0,50,72,19,30,27,63,90,28,10,31,13,36,119
487,Tyler Ulis,PG,23,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Jonas Valančiūnas,C,26,TOT,49,27,1091,301,538,14,48,287,490,147,185,106,313,419,70,19,53,90,146,763
