Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
353,Michael Ruffin,PF,23,CHI,71,6,13.7,0.8,1.9,0.0,0.0,0.8,1.9,0.6,1.2,1.6,1.9,3.5,0.6,0.4,0.4,0.8,2.4,2.2
354,Bryon Russell,SF,29,UTA,82,70,35.4,5.0,11.1,1.3,3.3,3.7,7.9,2.9,3.9,1.2,4.0,5.2,1.9,1.6,0.3,1.2,3.1,14.1
355,Arvydas Sabonis*,C,35,POR,66,61,25.6,4.6,9.1,0.1,0.3,4.5,8.8,2.5,3.0,1.5,6.3,7.8,1.8,0.7,1.2,1.5,2.8,11.8
356,John Salley,C,35,LAL,45,3,6.7,0.6,1.5,0.0,0.0,0.6,1.5,0.5,0.6,0.4,1.0,1.4,0.6,0.2,0.3,0.4,1.5,1.6
357,Detlef Schrempf,SF,37,POR,77,6,21.6,2.4,5.6,0.3,0.7,2.2,4.9,2.3,2.8,1.0,3.3,4.3,2.6,0.5,0.2,1.3,2.4,7.5
358,Dennis Scott,SF,31,VAN,66,0,19.1,1.9,5.0,1.1,2.9,0.8,2.2,0.7,0.9,0.2,1.4,1.6,1.0,0.4,0.1,0.5,1.6,5.6
359,Malik Sealy,SF,29,MIN,82,61,29.2,4.5,9.5,0.1,0.4,4.4,9.1,2.2,2.7,1.5,2.8,4.3,2.4,0.9,0.2,1.3,2.4,11.3
360,Brian Shaw,SG,33,LAL,74,2,16.9,1.7,4.4,0.2,0.8,1.4,3.6,0.6,0.7,0.6,2.3,2.9,2.7,0.5,0.2,1.0,1.4,4.1
361,Dickey Simpkins,PF,27,CHI,69,48,23.9,1.6,4.0,0.0,0.0,1.6,4.0,0.9,1.7,1.8,3.6,5.4,1.4,0.3,0.3,1.9,3.1,4.2
362,Brian Skinner,PF,23,LAC,33,9,23.5,2.1,4.1,0.0,0.0,2.1,4.1,1.3,2.0,1.9,4.2,6.1,0.3,0.5,1.3,1.1,2.3,5.4
363,Joe Smith,C,24,MIN,78,9,25.3,3.7,8.0,0.0,0.0,3.7,8.0,2.5,3.3,2.4,3.8,6.2,1.1,0.6,1.1,1.5,3.9,9.9
364,Michael Smith,SF,27,WAS,46,46,24.9,2.3,4.2,0.0,0.0,2.3,4.2,1.6,2.2,2.6,4.6,7.2,1.2,0.6,0.5,1.0,2.8,6.3
365,Steve Smith,SG,30,POR,82,81,32.8,5.1,11.0,1.2,2.9,4.0,8.0,3.5,4.1,1.5,2.3,3.8,2.5,0.9,0.4,1.4,2.6,14.9
366,Rik Smits,C,33,IND,79,79,23.4,5.5,11.3,0.0,0.0,5.5,11.3,2.0,2.7,1.2,3.9,5.1,1.1,0.3,1.3,1.4,3.2,12.9
367,Eric Snow,PG,26,PHI,82,80,35.0,3.1,7.3,0.1,0.5,3.0,6.7,1.5,2.2,0.5,2.7,3.2,7.6,1.7,0.1,2.0,3.0,7.9
368,Felton Spencer,C,32,SAS,26,0,5.7,0.6,1.3,0.0,0.0,0.6,1.3,0.8,1.2,0.6,0.9,1.5,0.1,0.2,0.3,0.3,1.2,1.9
369,Latrell Sprewell,SF,29,NYK,82,82,40.0,6.9,15.9,0.5,1.5,6.4,14.4,4.2,4.8,0.6,3.7,4.3,4.0,1.3,0.3,2.8,2.2,18.6
370,Ryan Stack,PF,24,CLE,25,0,7.9,0.7,2.0,0.0,0.0,0.7,2.0,0.7,1.1,0.6,1.2,1.8,0.2,0.2,0.4,0.7,1.9,2.1
371,Jerry Stackhouse,SG,25,DET,82,82,38.4,7.5,17.6,1.0,3.5,6.5,14.1,7.5,9.2,1.4,2.4,3.8,4.5,1.3,0.4,3.8,2.3,23.6
372,John Starks,SG,34,TOT,37,30,32.2,5.5,14.6,1.6,4.6,3.9,10.0,1.4,1.6,0.3,2.5,2.7,4.9,1.1,0.1,1.8,2.8,13.9
373,Vladimir Stepania,C,23,SEA,30,1,6.7,1.0,2.6,0.0,0.2,1.0,2.4,0.6,1.2,0.7,0.9,1.6,0.1,0.3,0.4,0.7,1.5,2.5
374,Joe Stephens,SF,27,VAN,13,0,13.9,1.5,3.9,0.0,0.6,1.5,3.3,0.2,0.3,1.0,1.8,2.8,0.8,0.5,0.2,0.5,0.7,3.2
375,Michael Stewart,C,24,TOR,42,1,9.3,0.5,1.3,0.0,0.0,0.5,1.3,0.4,0.8,0.8,1.5,2.2,0.1,0.1,0.5,0.4,1.9,1.4
376,Bryant Stith,SG,29,DEN,45,6,15.4,1.9,4.2,0.4,1.2,1.5,3.0,1.4,1.7,0.5,1.4,1.9,1.4,0.4,0.3,0.7,1.2,5.6
377,John Stockton*,PG,37,UTA,82,82,29.7,4.4,8.8,0.5,1.5,3.9,7.4,2.7,3.1,0.5,2.1,2.6,8.6,1.7,0.2,2.2,2.3,12.1
378,Peja Stojaković,SF,22,SAC,74,11,23.6,4.3,9.7,1.4,3.6,3.0,6.1,1.8,2.1,1.0,2.7,3.7,1.4,0.7,0.1,1.2,1.3,11.9
379,Damon Stoudamire,PG,26,POR,78,78,30.4,4.9,11.5,1.0,2.7,3.9,8.7,1.6,1.9,0.8,2.3,3.1,5.2,1.0,0.0,1.9,2.2,12.5
380,Erick Strickland,SG,26,DAL,68,67,29.8,4.6,10.7,1.1,2.7,3.6,8.0,2.4,2.9,1.0,3.7,4.8,3.1,1.5,0.2,1.5,2.8,12.8
381,Mark Strickland,SF,29,MIA,58,5,11.4,2.1,3.9,0.0,0.0,2.1,3.9,0.7,1.0,0.8,1.7,2.4,0.4,0.3,0.3,0.4,1.2,4.9
